assets,assets_check,billsred,capital,cchdufrm,circulation,city,county,diff,diff1,diffA,diffL,fips,id,id_old,liabs_check,loans,name,otherassets,otherliabs,othsec,profits,surpro,totdep,ussec,year,loanAssetRatio
132453,132453,0.0,25000,31330,0.0,copenhagen,Lewis,,,0.0,0.0,36049,1114,,132453,47814,copenhagen,20000,0.0,22232,3054.0,5000.0,99399,11077.0,1939,0.3609884260832144
4301008,4301008,0.0,150000,633103,0.0,corning,Steuben,,,0.0,0.0,36101,1116,,4301008,865790,first nb and tc,168169,15686.0,962287,155065.0,350000.0,3630257,1671659.0,1939,0.20129932332141676
1111948,1111948,0.0,144000,202694,0.0,cornwall,Orange,,,0.0,0.0,36071,1117,,1111948,207580,cornwall,17862,1358.0,126712,7861.0,10000.0,948729,557100.0,1939,0.18668139157586505
959830,959830,0.0,100000,223331,0.0,coxsackie,Greene,,,0.0,0.0,36039,1120,,959830,371680,nb,13224,2000.0,126570,32472.0,31000.0,794358,225025.0,1939,0.3872352395736745
1382622,1382622,0.0,50000,583636,0.0,croghan,Lewis,,,0.0,0.0,36049,1121,,1382622,517618,croghan,15833,0.0,230535,37133.0,75000.0,1220489,35000.0,1939,0.37437419627345725
1112381,1112381,0.0,25000,157442,0.0,croton-on-hudson,Westchester,,,0.0,0.0,36119,1122,,1112381,245944,first,28610,0.0,186722,64692.0,75000.0,947689,493663.0,1939,0.22109690834345427
494566,494566,0.0,100000,116076,0.0,cuba,Allegany,,,0.0,0.0,36003,1123,,494566,211261,first,16987,0.0,118507,2577.0,31000.0,360989,31735.0,1939,0.42716442294860546
1072014,1072014,0.0,100000,235920,0.0,cuba,Allegany,,,0.0,0.0,36003,1124,,1072014,503617,cuba,10155,0.0,224576,29326.0,83000.0,859688,97746.0,1939,0.4697858423490738
529010,529010,0.0,35000,212750,0.0,cutchogue,Suffolk,,,0.0,0.0,36103,1125,,529010,153876,first,31359,2.0,57600,13070.0,15000.0,465938,73425.0,1939,0.29087540878244267
1410408,1410408,0.0,114950,294869,0.0,dansville,Livingston,,,0.0,0.0,36051,1126,,1410408,526483,merchants and farmers,61604,0.0,374599,31261.0,0.0,1264197,152853.0,1939,0.37328418443457495
1971118,1971118,0.0,162000,326307,0.0,delhi,Delaware,,,0.0,0.0,36025,1127,,1971118,974124,delaware,39609,740.0,148832,11380.0,51000.0,1745998,482246.0,1939,0.49419872376996204
864211,864211,0.0,77000,177242,0.0,deposit,Broome,,,0.0,0.0,36007,1128,,864211,416551,farmers,15478,0.0,123267,8883.0,37000.0,741328,131673.0,1939,0.48200150194801966
509188,509188,0.0,50000,186184,0.0,dexter,Jefferson,,,0.0,0.0,36045,1129,,509188,142450,first,15582,1.0,86784,19277.0,6000.0,433910,78188.0,1939,0.2797591459343111
2316448,2316448,0.0,100000,669189,0.0,dolgeville,Herkimer,,,0.0,0.0,36043,1130,,2316448,851240,first,38746,2.0,317189,269231.0,100000.0,1847215,440084.0,1939,0.36747641216206883
1336619,1336619,0.0,100000,257054,0.0,dover plains,Dutchess,,,0.0,0.0,36027,1131,,1336619,265407,dover plains,18017,6.0,560741,150319.0,100000.0,986294,235400.0,1939,0.19856593389739335
485073,485073,0.0,45000,76964,0.0,downsville,Delaware,,,0.0,0.0,36025,1132,,485073,215306,first,11900,291.0,80966,3989.0,7150.0,428643,99937.0,1939,0.4438630886485127
